year,facility,number
1994,Pedestrian Overhead Bridges,336
1994,Pedestrian Underpasses,48
1994,Footbridges,15
1994,Covered Linkways,0
1995,Pedestrian Overhead Bridges,350
1995,Pedestrian Underpasses,49
1995,Footbridges,15
1995,Covered Linkways,0
1996,Pedestrian Overhead Bridges,359
1996,Pedestrian Underpasses,50
1996,Footbridges,16
1996,Covered Linkways,0
1997,Pedestrian Overhead Bridges,369
1997,Pedestrian Underpasses,50
1997,Footbridges,17
1997,Covered Linkways,0
1998,Pedestrian Overhead Bridges,380
1998,Pedestrian Underpasses,51
1998,Footbridges,22
1998,Covered Linkways,0
1999,Pedestrian Overhead Bridges,385
1999,Pedestrian Underpasses,53
1999,Footbridges,22
1999,Covered Linkways,0
2000,Pedestrian Overhead Bridges,390
2000,Pedestrian Underpasses,54
2000,Footbridges,22
2000,Covered Linkways,0
2001,Pedestrian Overhead Bridges,390
2001,Pedestrian Underpasses,54
2001,Footbridges,22
2001,Covered Linkways,0
2002,Pedestrian Overhead Bridges,390
2002,Pedestrian Underpasses,54
2002,Footbridges,22
2002,Covered Linkways,0
2003,Pedestrian Overhead Bridges,393
2003,Pedestrian Underpasses,54
2003,Footbridges,22
2003,Covered Linkways,14
2004,Pedestrian Overhead Bridges,408
2004,Pedestrian Underpasses,59
2004,Footbridges,22
2004,Covered Linkways,14.39
2005,Pedestrian Overhead Bridges,415
2005,Pedestrian Underpasses,59
2005,Footbridges,25
2005,Covered Linkways,15.6
2006,Pedestrian Overhead Bridges,446
2006,Pedestrian Underpasses,55
2006,Footbridges,29
2006,Covered Linkways,21.2
2007,Pedestrian Overhead Bridges,449
2007,Pedestrian Underpasses,55
2007,Footbridges,29
2007,Covered Linkways,21.1
2008,Pedestrian Overhead Bridges,466
2008,Pedestrian Underpasses,54
2008,Footbridges,28
2008,Covered Linkways,21.2
2009,Pedestrian Overhead Bridges,480
2009,Pedestrian Underpasses,54
2009,Footbridges,28
2009,Covered Linkways,22.22
2010,Pedestrian Overhead Bridges,484
2010,Pedestrian Underpasses,54
2010,Footbridges,29
2010,Covered Linkways,22.22
2011,Pedestrian Overhead Bridges,491
2011,Pedestrian Underpasses,54
2011,Footbridges,26
2011,Covered Linkways,24
2012,Pedestrian Overhead Bridges,498
2012,Pedestrian Underpasses,54
2012,Footbridges,27
2012,Covered Linkways,35
2013,Pedestrian Overhead Bridges,513
2013,Pedestrian Underpasses,54
2013,Footbridges,27
2013,Covered Linkways,35.3
2014,Pedestrian Overhead Bridges,538
2014,Pedestrian Underpasses,54
2014,Footbridges,27
2014,Covered Linkways,35
2015,Pedestrian Overhead Bridges,545
2015,Pedestrian Underpasses,54
2015,Footbridges,26
2015,Covered Linkways,35
2016,Pedestrian Overhead Bridges,555
2016,Pedestrian Underpasses,52
2016,Footbridges,26
2016,Covered Linkways,73
2017,Pedestrian Overhead Bridges,553
2017,Pedestrian Underpasses,54
2017,Footbridges,26
2017,Covered Linkways,79
2018,Pedestrian Overhead Bridges,553
2018,Pedestrian Underpasses,54
2018,Footbridges,26
2018,Covered Linkways,86
2019,Pedestrian Overhead Bridges,581
2019,Pedestrian Underpasses,57
2019,Footbridges,25
2019,Covered Linkways,166
2020,Pedestrian Overhead Bridges,577
2020,Pedestrian Underpasses,58
2020,Footbridges,25
2020,Covered Linkways,166
2021,Pedestrian Overhead Bridges,574
2021,Pedestrian Underpasses,58
2021,Footbridges,26
2021,Covered Linkways,228
2022,Pedestrian Overhead Bridges,574
2022,Pedestrian Underpasses,58
2022,Footbridges,25
2022,Covered Linkways,228
