year,facility,number
1994,Traffic Lights,1256
1994,ERP Gantries,0
1995,Traffic Lights,1308
1995,ERP Gantries,0
1996,Traffic Lights,1381
1996,ERP Gantries,0
1997,Traffic Lights,1463
1997,ERP Gantries,0
1998,Traffic Lights,1528
1998,ERP Gantries,33
1999,Traffic Lights,1624
1999,ERP Gantries,41
2000,Traffic Lights,1697
2000,ERP Gantries,42
2001,Traffic Lights,1745
2001,ERP Gantries,42
2002,Traffic Lights,1799
2002,ERP Gantries,45
2003,Traffic Lights,1850
2003,ERP Gantries,45
2004,Traffic Lights,1886
2004,ERP Gantries,45
2005,Traffic Lights,1933
2005,ERP Gantries,48
2006,Traffic Lights,1967
2006,ERP Gantries,48
2007,Traffic Lights,2010
2007,ERP Gantries,58
2008,Traffic Lights,2051
2008,ERP Gantries,66
2009,Traffic Lights,2080
2009,ERP Gantries,66
2010,Traffic Lights,2127
2010,ERP Gantries,69
2011,Traffic Lights,2150
2011,ERP Gantries,70
2012,Traffic Lights,2185
2012,ERP Gantries,72
2013,Traffic Lights,2227
2013,ERP Gantries,74
2014,Traffic Lights,2269
2014,ERP Gantries,77
2015,Traffic Lights,2320
2015,ERP Gantries,77
2016,Traffic Lights,2387
2016,ERP Gantries,77
2017,Traffic Lights,2449
2017,ERP Gantries,78
