year,facility,number
1994,Flyovers,79
1994,Vehicular Bridges,180
1994,Vehicular Underpasses & Tunnels,10
1995,Flyovers,83
1995,Vehicular Bridges,196
1995,Vehicular Underpasses & Tunnels,12
1996,Flyovers,86
1996,Vehicular Bridges,196
1996,Vehicular Underpasses & Tunnels,12
1997,Flyovers,93
1997,Vehicular Bridges,200
1997,Vehicular Underpasses & Tunnels,14
1998,Flyovers,95
1998,Vehicular Bridges,202
1998,Vehicular Underpasses & Tunnels,18
1999,Flyovers,95
1999,Vehicular Bridges,202
1999,Vehicular Underpasses & Tunnels,18
2000,Flyovers,95
2000,Vehicular Bridges,203
2000,Vehicular Underpasses & Tunnels,18
2001,Flyovers,95
2001,Vehicular Bridges,203
2001,Vehicular Underpasses & Tunnels,18
2002,Flyovers,95
2002,Vehicular Bridges,203
2002,Vehicular Underpasses & Tunnels,18
2003,Flyovers,98
2003,Vehicular Bridges,205
2003,Vehicular Underpasses & Tunnels,21
2004,Flyovers,103
2004,Vehicular Bridges,207
2004,Vehicular Underpasses & Tunnels,23
2005,Flyovers,104
2005,Vehicular Bridges,208
2005,Vehicular Underpasses & Tunnels,24
2006,Flyovers,111
2006,Vehicular Bridges,214
2006,Vehicular Underpasses & Tunnels,25
2007,Flyovers,111
2007,Vehicular Bridges,214
2007,Vehicular Underpasses & Tunnels,27
2008,Flyovers,112
2008,Vehicular Bridges,214
2008,Vehicular Underpasses & Tunnels,27
2009,Flyovers,114
2009,Vehicular Bridges,213
2009,Vehicular Underpasses & Tunnels,28
2010,Flyovers,114
2010,Vehicular Bridges,213
2010,Vehicular Underpasses & Tunnels,28
2011,Flyovers,116
2011,Vehicular Bridges,212
2011,Vehicular Underpasses & Tunnels,28
2012,Flyovers,119
2012,Vehicular Bridges,212
2012,Vehicular Underpasses & Tunnels,29
2013,Flyovers,119
2013,Vehicular Bridges,212
2013,Vehicular Underpasses & Tunnels,29
2014,Flyovers,119
2014,Vehicular Bridges,214
2014,Vehicular Underpasses & Tunnels,29
2015,Flyovers,121
2015,Vehicular Bridges,218
2015,Vehicular Underpasses & Tunnels,29
2016,Flyovers,121
2016,Vehicular Bridges,220
2016,Vehicular Underpasses & Tunnels,31
2017,Flyovers,124
2017,Vehicular Bridges,222
2017,Vehicular Underpasses & Tunnels,32
2018,Flyovers,117
2018,Vehicular Bridges,223
2018,Vehicular Underpasses & Tunnels,32
2019,Flyovers,126
2019,Vehicular Bridges,223
2019,Vehicular Underpasses & Tunnels,32
2020,Flyovers,126
2020,Vehicular Bridges,232
2020,Vehicular Underpasses & Tunnels,32
2021,Flyovers,128
2021,Vehicular Bridges,242
2021,Vehicular Underpasses & Tunnels,29
2022,Flyovers,129
2022,Vehicular Bridges,243
2022,Vehicular Underpasses & Tunnels,29
